"Date","Weekly_Sales","Temperature","Fuel_Price","CPI","PrevWeekly_Sales","IsHoliday"
"2011-05-20",19836.3648611111,67.63,3.907,215.7339202,21983.2271232877,0
"2011-05-27",20648.5446478873,77.72,3.786,215.5037878,19836.3648611111,0
"2011-06-03",23358.263,83,3.699,215.2736553,20648.5446478873,0
"2011-06-10",22379.5538028169,83.13,3.648,215.0435229,23358.263,0
"2011-06-17",21279.3730555556,86.41,3.637,214.9980596,22379.5538028169,0
"2011-06-24",20265.2133802817,83.58,3.594,215.0910982,21279.3730555556,0
"2011-07-01",21573.0157971014,85.55,3.524,215.1841368,20265.2133802817,0
"2011-07-08",21926.4234285714,85.83,3.48,215.2771754,21573.0157971014,0
"2011-07-15",20787.4281428571,88.54,3.575,215.3611087,21926.4234285714,0
"2011-07-22",20245.3162318841,85.77,3.651,215.4222784,20787.4281428571,0
"2011-07-29",19597.3882608696,86.83,3.682,215.4834482,20245.3162318841,0
"2011-08-05",22878.6443661972,91.65,3.684,215.544618,19597.3882608696,0
"2011-08-12",21480.9449295775,90.76,3.638,215.6057878,22878.6443661972,0
"2011-08-19",21260.5754166667,89.94,3.554,215.6693107,21480.9449295775,0
"2011-08-26",19793.1548648649,87.96,3.523,215.7332258,21260.5754166667,0
"2011-09-02",21236.0167123288,87.83,3.533,215.7971409,19793.1548648649,0
"2011-09-09",21395.4338888889,76,3.546,215.861056,21236.0167123288,1
"2011-09-16",21327.6025352113,79.94,3.526,216.0410526,21395.4338888889,0
"2011-09-23",19166.9481944444,75.8,3.467,216.3758246,21327.6025352113,0
"2011-09-30",19368.9143055556,79.69,3.355,216.7105965,19166.9481944444,0
"2011-10-07",22652.6381944444,69.31,3.285,217.0453684,19368.9143055556,0
"2011-10-14",20743.4156944444,71.74,3.274,217.3552733,22652.6381944444,0
"2011-10-21",20868.9275,63.71,3.353,217.5159762,20743.4156944444,0
"2011-10-28",20072.9040277778,66.57,3.372,217.6766791,20868.9275,0
"2011-11-04",23572.6330555556,54.98,3.332,217.837382,20072.9040277778,0
"2011-11-11",22151.9290277778,59.11,3.297,217.9980849,23572.6330555556,0
"2011-11-18",21381.7180555556,62.25,3.308,218.2205088,22151.9290277778,0
"2011-11-25",27853.7076712329,60.14,3.236,218.4676211,21381.7180555556,1
"2011-12-02",21699.7801369863,48.91,3.172,218.7147333,27853.7076712329,0
"2011-12-09",24653.1832876712,43.93,3.158,218.9618456,21699.7801369863,0
"2011-12-16",26127.45375,51.63,3.159,219.1794533,24653.1832876712,0
"2011-12-23",30678.2295945946,47.96,3.112,219.3577216,26127.45375,0
"2011-12-30",20513.1879452055,44.55,3.129,219.5359898,30678.2295945946,1
"2012-01-06",21532.9155555556,49.01,3.157,219.7142581,20513.1879452055,0
"2012-01-13",20557.7629577465,48.53,3.261,219.8925263,21532.9155555556,0
"2012-01-20",19101.2854794521,54.11,3.268,219.9856893,20557.7629577465,0
"2012-01-27",18847.5084285714,54.26,3.29,220.0788523,19101.2854794521,0
"2012-02-03",22726.9395833333,56.55,3.36,220.1720153,18847.5084285714,0
"2012-02-10",24691.4716438356,48.02,3.409,220.2651783,22726.9395833333,1
"2012-02-17",24929.7260273973,45.32,3.51,220.4257586,24691.4716438356,0
"2012-02-24",21380.3865277778,57.25,3.555,220.636902,24929.7260273973,0
"2012-03-02",23450.2883333333,60.96,3.63,220.8480454,21380.3865277778,0
"2012-03-09",23597.621971831,58.76,3.669,221.0591887,23450.2883333333,0
"2012-03-16",23298.2330555556,64.74,3.734,221.2118132,23597.621971831,0
"2012-03-23",21282.6488732394,65.93,3.787,221.2864126,23298.2330555556,0
"2012-03-30",23233.868028169,67.61,3.845,221.3610119,21282.6488732394,0
"2012-04-06",26384.4011111111,70.43,3.891,221.4356112,23233.868028169,0
"2012-04-13",22831.4323943662,69.07,3.891,221.5102105,26384.4011111111,0
"2012-04-20",21430.6742253521,66.76,3.877,221.5640737,22831.4323943662,0
"2012-04-27",20689.131971831,67.23,3.814,221.6179368,21430.6742253521,0
"2012-05-04",23725.6336619718,75.55,3.749,221.6718,20689.131971831,0
"2012-05-11",22691.4936619718,73.77,3.688,221.7256632,23725.6336619718,0
"2012-05-18",22798.5981428571,70.33,3.63,221.742674,22691.4936619718,0
